SiteID,Lat,Lon,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
38201,49.1814,13.1866,1050.00,1017.92,985.86,953.84,921.84,889.88,885.29,880.70,876.11,871.53,866.96,844.70,819.42,719.71,748.01,828.82,768.96,824.12,785.80,787.44,720.61,731.70,756.17,756.26,700.74,750.57,733.84,865.45
38202,49.1654,13.2003,1034.44,1002.51,970.62,938.79,907.01,875.27,870.45,865.64,860.84,856.04,851.25,819.49,791.35,704.92,727.69,805.64,755.00,803.17,767.70,765.88,703.94,717.88,742.01,742.24,679.58,734.50,714.97,845.70
38203,48.7778,13.8677,817.09,786.57,756.29,726.24,696.43,666.86,660.50,654.17,647.87,641.61,635.37,613.31,569.88,616.96,592.26,619.50,602.66,611.08,615.11,617.62,586.53,561.70,615.05,590.71,581.45,607.34,601.16,678.85
38204,49.0757,13.4014,892.69,861.51,830.47,799.57,768.83,738.23,732.57,726.94,721.32,715.72,710.15,657.11,639.70,612.77,613.07,652.12,649.70,675.69,629.82,631.71,598.36,587.25,644.11,649.51,574.85,628.46,612.97,684.33
38205,49.1118,13.3293,923.73,892.84,862.06,831.41,800.89,770.48,765.08,759.70,754.34,748.99,743.66,701.36,670.16,626.68,634.39,692.85,676.00,696.47,667.15,660.30,623.64,624.24,668.28,673.97,593.92,653.18,634.97,724.98
38206,48.9348,13.6533,787.48,758.23,729.20,700.39,671.80,643.43,637.39,631.38,625.39,619.44,613.51,579.92,570.76,602.45,553.26,603.16,584.61,604.82,577.66,560.13,567.79,541.80,588.59,599.02,537.05,575.34,560.72,637.78
38207,50.0344,12.6694,883.65,860.10,836.52,812.92,789.28,765.62,761.53,757.42,753.32,749.21,745.09,721.68,757.14,663.53,617.42,678.66,658.35,649.15,643.18,637.44,667.48,626.53,689.71,628.97,636.09,669.45,638.79,691.49
38208,50.8167,15.1333,1007.82,984.39,960.90,937.33,913.69,889.98,887.87,885.75,883.62,881.49,879.34,864.43,787.71,657.30,770.99,816.28,765.03,797.06,756.09,713.20,708.71,647.84,802.56,676.31,693.13,759.17,748.28,826.35
23540,58.1450,26.9770,432.49,403.32,374.11,344.85,315.55,286.19,278.26,270.31,262.35,254.38,246.40,276.87,224.51,253.51,263.17,229.62,247.76,265.71,277.05,248.25,278.26,241.55,280.21,240.10,273.89,282.41,233.02,235.25
38209,60.7054,27.9181,323.34,305.51,287.67,269.83,251.99,234.15,227.65,221.14,214.63,208.12,201.61,190.67,170.56,166.29,180.88,178.19,157.87,195.78,219.48,151.23,208.94,196.29,203.21,198.71,198.27,186.31,166.18,178.81
