SiteID,Lat,Lon,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
38201,49.1814,13.1866,1626.50,1565.49,1504.10,1442.33,1380.19,1317.66,1258.86,1199.70,1140.19,1080.32,1020.10,994.63,919.41,813.59,875.95,919.37,850.48,862.40,738.36,752.91,701.17,624.50,645.84,674.72,588.31,579.23,573.80,660.28
38202,49.1654,13.2003,1627.48,1566.80,1505.75,1444.32,1382.51,1320.32,1261.52,1202.36,1142.84,1082.96,1022.73,990.83,912.36,818.05,873.25,915.44,854.97,859.08,739.35,749.42,700.41,627.13,647.42,675.88,586.22,579.04,574.25,657.99
38203,48.7778,13.8677,1255.86,1213.65,1171.28,1128.74,1086.05,1043.20,997.86,952.34,906.66,860.81,814.80,778.29,722.38,752.82,722.24,733.92,684.59,678.98,621.33,630.97,597.11,537.10,551.18,557.73,512.53,499.07,503.82,535.79
38204,49.0757,13.4014,1417.71,1367.42,1316.87,1266.08,1215.03,1163.74,1112.17,1060.36,1008.29,955.97,903.40,846.72,791.05,767.38,772.20,788.25,774.65,745.93,656.48,668.60,634.68,554.44,591.72,616.84,533.09,530.03,532.24,573.59
38205,49.1118,13.3293,1487.14,1433.24,1379.05,1324.56,1269.79,1214.73,1160.76,1106.50,1051.95,997.13,942.02,899.96,825.22,780.04,801.02,831.29,805.23,774.88,686.28,693.19,656.17,581.42,610.61,639.70,546.46,545.79,546.50,600.35
38206,48.9348,13.6533,1277.16,1233.31,1189.29,1145.10,1100.73,1056.19,1009.72,963.07,916.24,869.24,822.05,782.08,740.08,769.32,717.41,746.31,709.30,694.07,623.72,620.40,608.61,536.37,557.01,574.47,508.75,503.48,500.84,540.90
38207,50.0344,12.6694,1664.95,1601.58,1537.77,1473.54,1408.88,1343.79,1282.33,1220.47,1158.20,1095.53,1032.45,1014.02,1037.50,894.58,874.58,930.49,885.67,838.58,779.18,768.38,782.30,665.43,678.45,687.97,649.11,613.61,599.96,635.90
38208,50.8167,15.1333,2086.10,2006.75,1926.74,1846.08,1764.75,1682.77,1606.92,1530.46,1453.39,1375.71,1297.43,1278.45,1191.57,974.25,1165.70,1151.83,1083.48,1126.81,976.54,922.23,877.69,819.46,877.80,840.35,775.84,781.09,769.61,836.72
23540,58.1450,26.9770,661.57,628.86,596.04,563.10,530.05,496.90,480.11,463.26,446.35,429.39,412.37,382.72,380.46,415.66,393.58,365.60,376.29,380.00,386.71,333.81,376.95,322.75,348.03,311.91,319.27,314.06,287.06,271.01
38209,60.7054,27.9181,714.71,682.26,649.59,616.70,583.60,550.28,534.37,518.36,502.24,486.01,469.67,418.46,381.66,435.14,427.42,407.79,386.50,409.73,435.51,313.24,374.17,376.95,363.13,355.61,334.73,322.46,304.03,293.59
38221,60.6981,27.1471,761.24,728.10,694.71,661.09,627.24,593.15,575.97,558.67,541.25,523.70,506.03,460.58,408.69,448.04,461.51,441.04,425.06,436.13,471.47,325.91,385.01,407.00,408.53,379.70,356.52,341.14,323.90,320.67
38214,61.2944,26.4147,531.34,509.79,488.13,466.35,444.46,422.45,410.20,397.89,385.51,373.07,360.55,335.79,302.56,341.19,337.48,324.17,336.77,303.91,335.70,241.36,278.72,273.37,296.46,272.90,261.42,246.51,229.45,226.54
38217,61.2423,25.0634,595.00,572.27,549.38,526.31,503.09,479.69,465.86,451.93,437.90,423.77,409.53,360.99,324.12,377.94,365.95,348.40,366.24,327.18,361.58,275.61,323.70,305.13,310.39,307.16,285.72,256.81,241.12,239.71
36463,60.8426,13.1195,419.81,410.59,401.31,391.95,382.52,373.01,361.23,349.35,337.39,325.34,313.20,233.32,228.20,257.97,231.72,258.45,268.25,202.90,214.64,197.37,197.71,233.08,200.68,158.03,222.40,184.41,178.10,156.34
23597,61.6379,17.0864,541.66,525.34,508.86,492.23,475.45,458.52,444.81,430.98,417.02,402.94,388.73,294.98,303.04,270.45,266.09,267.62,315.43,231.67,265.22,259.54,248.20,247.03,246.23,187.34,247.01,194.68,200.60,187.72
36459,62.2594,16.2680,323.42,315.67,307.87,300.00,292.07,284.09,276.03,267.91,259.73,251.49,243.19,183.15,194.44,180.67,171.11,185.84,192.00,145.41,159.26,157.55,163.37,164.17,141.32,116.80,161.46,127.50,123.04,119.66
38222,61.6127,25.1221,547.34,526.21,504.94,483.53,461.99,440.31,427.32,414.24,401.08,387.83,374.50,341.89,289.38,334.18,325.27,308.25,320.90,304.23,328.08,255.33,290.16,286.27,291.36,270.59,244.08,233.03,222.12,217.34
38227,62.3810,25.4449,481.77,463.89,445.89,427.77,409.54,391.20,380.05,368.83,357.53,346.17,334.73,306.71,281.94,289.34,290.33,289.36,276.52,259.28,283.94,215.22,262.66,257.62,259.19,219.75,229.70,209.97,194.12,192.74
38219,60.1677,23.5702,801.38,770.93,740.28,709.43,678.38,647.14,627.33,607.38,587.31,567.11,546.78,472.08,442.46,477.38,475.42,451.74,485.64,468.78,477.64,352.58,429.55,427.47,424.50,408.09,379.09,355.08,317.65,308.31
38212,59.9634,23.3158,898.16,863.19,828.00,792.58,756.95,721.09,698.24,675.24,652.10,628.82,605.39,510.72,523.32,527.31,530.38,496.31,558.60,510.00,532.95,393.72,449.91,481.35,475.59,453.75,407.74,399.47,338.46,343.84
38215,63.1615,30.7103,376.17,359.81,343.38,326.88,310.31,293.66,285.08,276.46,267.80,259.10,250.36,220.66,190.11,241.24,236.74,244.09,239.61,224.23,223.73,157.27,219.11,189.09,194.40,171.37,204.53,194.55,174.76,165.67
38228,63.1638,30.6929,376.66,360.28,343.84,327.32,310.73,294.07,285.47,276.83,268.15,259.44,250.68,221.46,190.43,241.32,237.11,243.94,240.06,224.67,224.34,157.51,219.74,189.59,195.00,171.46,204.56,194.84,174.88,165.75
38272,63.3004,8.7765,262.21,259.71,257.18,254.62,252.02,249.39,242.34,235.21,228.02,220.75,213.42,251.93,245.71,277.41,220.26,240.59,276.03,212.71,196.36,204.76,174.26,213.77,200.14,173.66,160.89,188.59,174.57,150.31
38355,61.0867,16.9493,516.13,500.70,485.16,469.49,453.70,437.79,424.23,410.56,396.79,382.92,368.94,296.06,292.51,297.42,282.50,279.19,328.60,248.81,255.16,262.12,269.48,238.00,240.12,192.18,245.25,186.58,211.37,183.36
38213,63.6565,29.9466,352.67,337.73,322.71,307.62,292.47,277.24,269.10,260.93,252.71,244.46,236.17,189.86,153.43,214.61,209.92,228.22,199.37,215.68,202.12,136.17,190.50,182.78,175.84,152.30,182.08,181.79,156.11,148.55
38229,63.7268,28.2352,358.47,344.12,329.70,315.21,300.65,286.02,277.54,269.02,260.46,251.85,243.21,192.05,174.30,220.39,212.99,229.52,204.74,210.86,200.00,150.65,208.91,175.87,188.27,154.51,175.07,179.80,152.66,142.56
38226,62.1662,22.0038,568.53,550.66,532.65,514.49,496.18,477.73,463.32,448.79,434.14,419.38,404.51,312.21,264.72,329.45,308.20,332.07,305.07,281.52,293.02,240.44,266.73,295.28,256.16,240.01,257.64,226.63,209.21,186.30
38391,61.6428,16.5753,395.30,384.75,374.13,363.43,352.67,341.84,331.61,321.31,310.95,300.52,290.03,220.27,227.68,220.08,213.09,216.66,238.97,174.22,197.38,196.17,195.72,195.76,171.10,138.81,187.76,143.38,157.18,136.22
38348,59.8056,17.9040,660.51,643.05,625.46,607.72,589.84,571.82,554.51,537.06,519.48,501.77,483.92,395.72,356.70,405.27,356.44,384.21,405.04,326.28,349.90,330.62,325.01,338.17,339.84,282.85,325.30,283.23,251.87,232.40
38291,63.8996,10.1543,263.41,259.28,255.12,250.93,246.71,242.45,234.72,226.94,219.10,211.21,203.27,225.17,260.53,322.72,215.07,249.56,293.13,223.74,186.39,185.50,154.35,255.40,185.82,170.35,154.67,206.01,151.07,150.85
38220,60.3014,24.6160,918.37,883.97,849.27,814.26,778.94,743.33,722.55,701.59,680.44,659.11,637.59,552.01,506.73,533.84,558.02,514.73,541.90,529.69,543.28,408.46,474.02,458.46,446.17,464.10,427.09,395.47,353.36,354.85
38216,60.3444,24.5990,854.48,822.43,790.12,757.54,724.70,691.58,672.13,652.52,632.74,612.80,592.70,510.47,467.03,498.90,516.65,478.16,502.86,494.06,509.90,378.02,445.58,426.11,418.32,434.74,398.44,370.70,328.13,333.41
38225,62.0178,23.9304,514.66,496.16,477.55,458.82,439.97,421.01,408.43,395.77,383.03,370.22,357.32,315.55,269.42,300.35,283.48,292.09,291.92,270.41,284.77,234.62,263.22,269.27,264.22,239.11,230.43,209.79,193.98,186.63
38223,61.7991,24.2811,565.12,544.78,524.30,503.67,482.90,461.98,448.45,434.83,421.11,407.30,393.39,344.24,295.90,333.52,330.31,324.06,333.97,305.24,320.10,262.61,295.92,302.36,285.51,269.27,253.18,231.87,223.41,209.25
38224,61.8102,24.2072,562.32,542.12,521.77,501.29,480.66,459.89,446.39,432.80,419.11,405.33,391.46,342.73,296.70,333.37,329.23,326.30,335.46,301.49,319.06,261.29,296.65,299.39,282.40,265.93,251.90,230.08,221.28,207.97
23505,48.7502,8.4503,2020.70,1949.97,1878.82,1807.25,1735.26,1662.86,1585.16,1507.02,1428.44,1349.41,1269.93,1203.64,1259.96,1160.62,1150.01,1251.25,1079.63,1145.61,930.83,937.04,990.13,827.01,810.91,885.75,806.65,721.98,755.83,726.51
23506,50.0850,11.8245,1762.03,1688.18,1613.83,1539.01,1463.71,1387.92,1322.16,1255.97,1189.37,1122.35,1054.91,1006.92,1038.08,887.15,894.53,903.13,884.30,866.79,764.16,741.43,763.37,654.00,663.63,668.62,628.03,599.01,594.41,658.87
23507,50.9878,8.2013,2292.23,2200.73,2108.47,2015.43,1921.64,1827.07,1740.91,1654.05,1566.50,1478.25,1389.30,1217.80,1284.84,1157.41,1237.73,1157.66,1154.71,1125.55,965.27,993.14,921.67,872.16,858.34,857.71,844.07,772.01,775.57,849.36
23508,51.1173,12.7575,1897.94,1815.93,1733.35,1650.22,1566.53,1482.27,1410.48,1338.20,1265.45,1192.21,1118.50,1097.65,1047.36,912.47,980.88,948.56,945.03,923.80,828.20,822.51,801.24,682.28,719.08,728.14,680.31,644.63,656.12,727.66
23509,47.8785,8.0570,1415.20,1374.89,1334.37,1293.63,1252.68,1211.51,1158.50,1105.22,1051.67,997.84,943.75,888.51,889.63,892.34,870.31,824.91,818.13,798.16,662.58,673.66,674.06,582.76,613.00,614.38,584.39,545.33,553.12,511.29
23510,49.9240,7.6192,1964.60,1894.68,1824.24,1753.29,1681.84,1609.86,1535.89,1461.39,1386.36,1310.82,1234.76,1139.85,1196.04,1125.15,1109.10,1073.74,1047.15,981.07,879.24,880.80,907.50,736.66,778.16,795.70,798.69,670.54,702.19,665.41
23511,50.4097,12.5335,2138.83,2052.79,1966.06,1878.64,1790.53,1701.74,1622.47,1542.59,1462.10,1381.00,1299.27,1203.89,1259.44,1050.81,1058.13,1102.35,1075.16,1021.49,909.59,887.87,892.46,784.83,816.65,800.72,762.56,722.26,716.23,769.54
23512,48.9347,13.4085,1416.44,1367.08,1317.47,1267.62,1217.52,1167.17,1115.79,1064.16,1012.28,960.15,907.77,825.77,782.87,792.75,780.50,777.16,761.61,742.78,648.29,652.83,624.41,557.94,582.88,589.16,536.06,508.57,526.64,574.20
23513,51.4258,12.9233,1775.60,1699.63,1623.21,1546.34,1469.01,1391.22,1323.62,1255.63,1187.23,1118.45,1049.26,1079.12,968.92,855.39,928.57,871.72,856.35,866.14,783.60,787.17,768.13,688.42,696.91,710.47,666.20,652.86,649.55,686.71
23514,48.9385,13.4085,1416.75,1367.40,1317.80,1267.95,1217.86,1167.52,1116.12,1064.48,1012.58,960.43,908.03,825.66,782.75,792.72,780.32,777.14,762.29,743.03,648.44,653.16,624.60,558.12,583.42,589.74,535.98,508.98,526.58,574.07
23516,51.8550,10.4210,2256.92,2162.23,2066.75,1970.45,1873.36,1775.47,1689.25,1602.33,1514.70,1426.36,1337.31,1311.99,1341.96,1115.30,1218.70,1087.15,1157.21,1155.31,991.41,958.59,930.96,872.70,857.24,849.99,850.00,813.23,782.37,887.42
23517,50.7075,13.1522,1827.82,1752.63,1676.98,1600.87,1524.31,1447.29,1378.76,1309.82,1240.48,1170.72,1100.56,1064.87,1066.35,910.44,907.80,986.99,940.59,902.55,825.12,792.91,786.78,692.65,730.40,718.64,691.91,628.57,636.46,701.61
23518,51.2873,9.7372,2156.48,2064.86,1972.59,1879.67,1786.10,1691.89,1609.13,1525.79,1441.89,1357.42,1272.38,1166.29,1173.12,1014.45,1084.96,980.41,1018.49,1008.47,892.56,905.26,825.56,759.18,753.41,813.93,742.88,692.60,688.81,779.87
23519,51.3020,9.6183,2420.17,2318.53,2216.06,2112.75,2008.61,1903.64,1811.47,1718.58,1624.95,1530.58,1435.49,1335.67,1337.57,1161.55,1228.95,1114.13,1160.44,1125.32,998.34,1000.97,911.80,865.12,862.74,912.74,843.83,779.68,768.90,872.79
23520,53.6347,10.7378,1593.50,1532.87,1471.83,1410.36,1348.48,1286.17,1227.48,1168.40,1108.92,1049.04,988.77,998.80,963.17,841.24,864.49,791.12,849.67,813.42,746.01,703.00,691.94,721.96,696.34,657.40,675.45,705.09,671.17,656.55
23521,48.9715,13.4030,1422.86,1373.38,1323.64,1273.66,1223.42,1172.94,1121.28,1069.37,1017.20,964.79,912.11,825.75,782.22,792.08,779.81,777.39,768.97,746.06,650.10,656.61,626.24,560.03,588.26,594.85,535.48,512.22,526.44,573.50
23522,50.0412,11.9008,1711.17,1639.75,1567.86,1495.51,1422.70,1349.42,1285.70,1221.58,1157.05,1092.12,1026.79,974.40,1011.97,866.35,874.93,875.28,852.83,837.02,750.48,714.74,743.98,637.81,644.40,654.60,613.54,587.49,578.55,635.94
23523,50.2063,8.4362,2319.11,2232.41,2145.02,2056.94,1968.15,1878.68,1790.03,1700.69,1610.68,1519.98,1428.59,1284.05,1326.75,1217.53,1215.88,1218.02,1145.47,1070.04,938.06,980.93,1002.07,865.39,909.82,886.48,896.96,774.91,805.40,818.33
23524,50.2048,8.4362,2322.31,2235.51,2148.01,2059.82,1970.93,1881.35,1792.56,1703.09,1612.94,1522.09,1430.57,1286.10,1328.65,1219.18,1217.81,1219.87,1147.22,1071.52,939.41,982.29,1003.84,866.64,911.19,887.82,898.34,776.22,806.94,819.51
23525,50.6172,13.1912,1789.49,1719.77,1649.62,1579.05,1508.06,1436.65,1369.77,1302.50,1234.84,1166.78,1098.33,1053.35,1072.62,933.57,891.02,980.71,951.80,909.74,827.32,782.99,806.35,719.19,738.03,719.48,699.18,622.31,620.64,673.74
23526,49.6553,8.8870,2323.82,2235.33,2146.24,2056.54,1966.23,1875.32,1785.74,1695.57,1604.80,1513.44,1421.49,1279.48,1311.53,1147.43,1194.71,1216.67,1138.39,1095.84,1000.81,918.93,1013.32,836.74,901.63,906.38,883.43,787.55,773.82,820.19
23527,48.9397,13.4053,1419.33,1369.86,1320.13,1270.16,1219.94,1169.47,1117.98,1066.24,1014.24,962.00,909.51,826.59,783.39,792.83,781.25,777.64,763.25,743.97,648.96,653.92,624.97,558.57,583.97,590.26,536.35,509.24,527.05,574.59
23528,50.4872,12.6412,2002.12,1920.94,1839.18,1756.84,1673.91,1590.39,1515.70,1440.49,1364.76,1288.50,1211.71,1127.27,1195.69,988.28,989.70,1040.47,1007.48,947.93,860.21,830.32,853.28,726.46,765.33,765.62,717.07,673.84,680.75,728.50
23529,50.8350,14.1250,1955.49,1877.88,1799.78,1721.19,1642.10,1562.51,1490.23,1417.51,1344.33,1270.71,1196.63,1206.65,1107.42,950.74,1019.37,1057.37,1043.49,945.94,930.23,921.95,870.86,766.02,792.90,791.32,758.61,727.58,753.79,768.85
23530,49.7187,7.1098,1818.75,1759.45,1699.73,1639.58,1579.01,1518.02,1450.91,1383.34,1315.31,1246.82,1177.87,1110.31,1137.15,1104.22,1105.32,1042.87,1058.93,988.51,865.69,889.15,873.31,732.91,770.26,773.08,773.12,663.13,661.20,638.50
23531,48.9358,13.4085,1416.53,1367.18,1317.57,1267.72,1217.62,1167.28,1115.89,1064.26,1012.37,960.24,907.85,825.74,782.83,792.74,780.45,777.15,761.81,742.86,648.33,652.93,624.46,557.99,583.05,589.33,536.04,508.70,526.62,574.16
23532,49.7692,12.4213,1602.35,1541.50,1480.26,1418.63,1356.61,1294.20,1235.27,1175.97,1116.31,1056.28,995.89,941.67,963.16,812.96,838.67,872.59,829.81,791.79,743.32,712.07,727.78,614.80,622.71,647.45,604.63,572.56,568.40,633.46
23533,49.7890,12.4242,1563.88,1504.08,1443.92,1383.40,1322.52,1261.27,1203.58,1145.55,1087.19,1028.48,969.44,915.35,942.57,786.69,817.16,849.38,808.61,769.33,722.58,694.02,707.19,595.04,604.86,630.27,587.61,556.87,551.06,615.90
23534,50.7220,13.7062,1756.83,1687.93,1618.69,1549.09,1479.15,1408.85,1343.25,1277.33,1211.08,1144.51,1077.61,1051.58,1040.53,894.79,890.03,917.11,954.97,854.90,830.91,812.52,796.65,696.78,711.52,694.53,695.11,624.52,651.97,647.93
23535,50.3190,12.1368,1726.48,1653.37,1579.88,1505.99,1431.72,1357.05,1291.96,1226.52,1160.74,1094.62,1028.16,1004.15,1025.48,885.51,867.81,913.38,876.94,823.67,744.49,746.45,752.80,628.88,650.61,671.73,623.54,591.39,584.06,631.40
