station_id,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
23621,,,,,,,,,,,,,,,,,,,,,,,,,,,
23622,1514.5663,1273.5227,1283.2811,1249.9584,1317.4763,1752.181,1852.2694,1385.9664,1292.0067,,,,,,,,,,,,,,,,,,
23623,1477.2411,1224.664,1226.2175,1400.4136,1688.1921,1983.8301,2257.7175,1441.5062,1887.4308,,,,,,,,,,,,,,,,,,
23624,1431.7246,1162.3424,1085.6859,1331.7225,1373.7268,2259.2334,1843.8962,1273.03,1631.6055,,,,,,,,,,,,,,,,,,
23646,,,,,,,,,,,,,,,,,,,,,,,,,,,
23662,,,,,,,,,,,941.04346,863.2908,972.3365,809.31165,714.369,646.579,568.601,671.61395,595.6288,485.18692,472.6187,681.6051,605.8505,633.3912,656.0871,627.146,680.7576
23669,1049.6517,842.4384,772.13556,963.4225,847.5955,887.3727,884.8179,839.6115,944.1686,,,,,,,,,,,,,,,,,,
23683,1307.8899,990.5548,1036.9962,1030.5994,1110.5103,954.8211,1090.4132,1022.08356,1024.1594,,,,,,,,,,,,,,,,,,
23717,,,,,,,,,,,,,,,,,,,,,,,,,,,
23719,,,,,,,,,,,,,,,,,,,,,,,,,,,
23720,,,,,,,,,,,,,,,,,,,,,,,,,,,
23721,1644.0383,1328.045,1422.9714,1422.7316,1533.8834,1160.452,1658.09,1149.706,1197.1158,,,,,,,,,,,,,,,,,,
23722,,,,,,,,,,,,,,,,,,,,,,,,,,,
23723,,,,,,,,,,,,,,,,,,,,,,,,,,,
23726,1082.7864,938.93506,793.42645,1009.5815,1071.7358,886.7526,887.63354,1140.8986,1127.371,,,,,,,,,,,,,,,,,,
23728,1792.7498,1881.1134,1703.0315,1496.6616,1820.9575,1923.7804,1919.4285,1593.4441,1534.806,,,,,,,,,,,,,,,,,,
23729,1509.3722,1496.543,1458.3359,1348.0253,1531.9525,1431.8474,1486.6637,1418.2728,1466.3146,,,,,,,,,,,,,,,,,,
23733,,,,,,,,,,,,,,,,,,,,,,,,,,,
37047,1585.9874,1716.8796,1541.4281,1313.8202,1592.433,1737.1897,1705.9614,1426.2498,1437.8346,,,,,,,,,,,,,,,,,,
37765,,,,,,,,,,,,,,,,,,,,,,,,,,,
38441,,,,,,,,,,,941.04346,863.2908,972.3365,809.31165,714.369,646.579,568.601,671.61395,595.6288,485.18692,472.6187,681.6051,605.8505,633.3912,656.0871,627.146,680.7576
38442,1047.1395,865.7766,771.9464,921.1831,983.30536,863.5754,841.34094,838.1008,928.3641,,,,,,,,,,,,,,,,,,
38443,,,,,,,,,,,,,,,,,,,,,,,,,,,
38444,,,,,,,,,,,910.8875,856.8773,986.0029,813.8323,709.0894,636.5326,602.052,710.1099,644.18494,505.8227,474.66577,662.4759,580.3082,626.4585,645.1914,625.1518,664.2513
38445,1009.33887,859.0717,680.26624,863.33496,880.38025,755.11273,870.7447,814.04095,971.19855,,,,,,,,,,,,,,,,,,
38446,1049.6517,842.4384,772.13556,963.4225,847.5955,887.3727,884.8179,839.6115,944.1686,,,,,,,,,,,,,,,,,,
38447,1305.8677,1211.5203,1070.0112,1115.5062,1116.2992,1079.6816,1156.9595,1068.7681,1182.8167,,,,,,,,,,,,,,,,,,
38448,1257.0107,1160.3016,1014.7054,1076.3875,1093.3583,1023.0053,1089.9442,1028.7744,1145.8077,,,,,,,,,,,,,,,,,,
38449,1297.4043,1173.6844,1038.4899,1085.1243,1118.0778,1016.2703,1100.1805,1040.5267,1159.054,,,,,,,,,,,,,,,,,,
38450,,,,,,,,,,,,,,,,,,,,,,,,,,,
38451,1538.78,1340.2937,1221.663,1219.3864,1294.363,1167.5558,1313.6019,1197.0983,1231.4993,,,,,,,,,,,,,,,,,,
38452,1553.134,1353.2065,1232.952,1227.659,1301.7068,1177.4344,1325.6921,1208.801,1240.6083,,,,,,,,,,,,,,,,,,
38453,,,,,,,,,,,1205.898,1155.2781,1203.7739,1036.672,855.96387,773.2359,727.0594,802.67676,730.32916,655.4705,511.3105,799.3196,720.2823,751.01373,726.7968,650.98016,703.5912
38454,,,,,,,,,,,,,,,,,,,,,,,,,,,
38455,1435.2563,1252.051,1108.853,1233.0592,1281.2839,1104.7103,1237.8766,1105.2415,1119.705,,,,,,,,,,,,,,,,,,
38456,1594.8269,1387.8501,1205.6852,1426.5994,1426.4385,1262.5896,1420.4995,1120.3007,1142.7719,,,,,,,,,,,,,,,,,,
38457,,,,,,,,,,,,,,,,,,,,,,,,,,,
38458,,,,,,,,,,,,,,,,,,,,,,,,,,,
38459,1507.1156,1328.6892,1128.6747,1273.7085,1304.2648,1149.8119,1290.6113,1185.7604,1157.4701,,,,,,,,,,,,,,,,,,
38460,1129.591,920.78125,863.4715,969.13995,1062.0286,884.73193,980.90546,951.96466,980.8074,,,,,,,,,,,,,,,,,,
38461,1388.2439,1118.3821,1032.0654,1201.8547,1283.1034,1059.4314,1188.1398,1062.2389,1041.009,,,,,,,,,,,,,,,,,,
38462,,,,,,,,,,,,,,,,,,,,,,,,,,,
38463,1365.118,987.185,822.44214,1005.43994,1118.1677,957.3228,1017.9323,859.7475,976.5245,,,,,,,,,,,,,,,,,,
38464,1212.2803,952.38464,856.39325,1024.6312,1156.2886,967.6179,968.1467,949.36145,968.7294,,,,,,,,,,,,,,,,,,
38465,,,,,,,,,,,,,,,,,,,,,,,,,,,
38466,,,,,,,,,,,1362.498,1199.566,1290.936,1155.4249,968.71265,906.2083,869.6916,904.29785,848.1405,761.4261,614.7642,857.5887,713.9369,803.7133,716.3217,686.2792,743.2987
38467,,,,,,,,,,,,,,,,,,,,,,,,,,,
38468,,,,,,,,,,,,,,,,,,,,,,,,,,,
38469,,,,,,,,,,,,,,,,,,,,,,,,,,,
38470,,,,,,,,,,,,,,,,,,,,,,,,,,,
38471,,,,,,,,,,,1113.887,1036.209,1080.76,973.27,776.441,715.5407,671.1751,753.6897,676.5293,609.81213,473.329,751.2671,692.92065,727.4227,697.979,640.41235,673.96313
38472,1048.9548,863.7134,767.70856,922.8382,967.2306,860.58215,848.2703,845.18463,945.12213,,,,,,,,,,,,,,,,,,
38473,,,,,,,,,,,,,,,,,,,,,,,,,,,
38474,,,,,,,,,,,,,,,,,,,,,,,,,,,
38475,1013.95166,828.7015,721.56995,890.01733,868.8587,808.2652,811.58044,805.27985,950.3596,,,,,,,,,,,,,,,,,,
38476,,,,,,,,,,,,,,,,,,,,,,,,,,,
38477,1248.0093,1089.5021,1021.0496,1044.2446,1110.896,933.7023,1039.6415,1027.7734,1114.7354,,,,,,,,,,,,,,,,,,
38478,,,,,,,,,,,,,,,,,,,,,,,,,,,
38479,,,,,,,,,,,,,,,,,,,,,,,,,,,
38480,1254.417,1096.2788,1028.668,1047.866,1114.261,938.2492,1045.0001,1033.4875,1119.5516,,,,,,,,,,,,,,,,,,
38481,,,,,,,,,,,,,,,,,,,,,,,,,,,
38482,1064.42,878.2988,788.16144,938.1563,1014.2066,884.365,859.197,854.25366,931.4189,,,,,,,,,,,,,,,,,,
38483,,,,,,,,,,,,,,,,,,,,,,,,,,,
38484,,,,,,,,,,,1208.8049,1141.747,1187.603,1054.525,834.0698,758.0711,718.2544,793.2922,711.94403,642.21265,501.2557,790.47144,720.4814,752.3134,719.84326,656.457,723.8726
