station_id,year,met2005_emis2050_MFR_DEP_SOX_mgpm2,met2005_emis2050_MFR_DEP_TOTN_mgpm2,met2015_emis2015_Baseline_DEP_SOX_mgpm2,met2015_emis2015_Baseline_DEP_TOTN_mgpm2,met2015_emis2050_Diet_DEP_SOX_mgpm2,met2015_emis2050_Diet_DEP_TOTN_mgpm2,met2015_emis2050_MFR_DEP_SOX_mgpm2,met2015_emis2050_MFR_DEP_TOTN_mgpm2,met2005_emis2005_Baseline_DEP_SOX_mgpm2,met2005_emis2005_Baseline_DEP_TOTN_mgpm2,met2005_emis2030_Baseline_DEP_SOX_mgpm2,met2005_emis2030_Baseline_DEP_TOTN_mgpm2,met2005_emis2050_Diet_DEP_SOX_mgpm2,met2005_emis2050_Diet_DEP_TOTN_mgpm2,met2005_emis2030_MFR_DEP_SOX_mgpm2,met2005_emis2030_MFR_DEP_TOTN_mgpm2,met2015_emis2030_MFR_DEP_SOX_mgpm2,met2015_emis2030_MFR_DEP_TOTN_mgpm2,met2005_emis2050_Baseline_DEP_SOX_mgpm2,met2005_emis2050_Baseline_DEP_TOTN_mgpm2,met2015_emis2030_Baseline_DEP_SOX_mgpm2,met2015_emis2030_Baseline_DEP_TOTN_mgpm2,met2015_emis2050_Baseline_DEP_SOX_mgpm2,met2015_emis2050_Baseline_DEP_TOTN_mgpm2
23505,2050,124.94252,685.7322,,,81.99106,399.54785,80.56276,560.35974,,,,,125.89401,497.2757,,,,,160.89919,938.5114,,,105.28555,774.84656
23506,2050,97.851166,648.48627,,,74.11295,416.1233,73.463486,603.4937,,,,,98.24975,456.0868,,,,,135.91928,935.0842,,,104.51638,876.62085
23507,2050,132.45734,650.9843,,,107.765915,422.05338,108.42398,585.21484,,,,,131.84213,470.0353,,,,,188.04797,886.93744,,,157.5138,795.5524
23509,2050,105.554344,561.8252,,,77.974495,386.87598,73.70889,546.9892,,,,,109.812546,403.1487,,,,,123.00025,760.3666,,,90.15114,748.8808
23510,2050,95.12683,567.3246,,,72.078804,370.72528,71.67001,518.76184,,,,,95.77974,411.51154,,,,,129.60078,780.32544,,,102.4406,715.87024
23511,2050,118.14118,680.67584,,,89.98532,430.79822,90.28367,612.3159,,,,,117.9323,485.73914,,,,,168.8092,983.9177,,,130.83871,887.4265
23512,2050,77.1011,492.3269,,,60.63096,324.5354,59.713543,464.035,,,,,77.68459,351.49338,,,,,100.377815,699.2288,,,78.05055,664.19525
23514,2050,77.1011,492.3269,,,60.63096,324.5354,59.713543,464.035,,,,,77.68459,351.49338,,,,,100.377815,699.2288,,,78.05055,664.19525
23522,2050,86.729416,592.68317,,,64.72821,379.81073,64.118454,557.5086,,,,,87.08601,411.21902,,,,,119.019455,859.58014,,,90.50569,813.7203
23525,2050,112.15177,599.1531,,,81.97466,358.11832,82.26746,501.9076,,,,,111.34744,429.15485,,,,,156.76811,861.42126,,,114.79707,719.92206
