station_id,year,EMEP_Standard_DEP_SOX_mgpm2,EMEP_Standard_DEP_TOTN_mgpm2
23505,2000,771.8779,1980.2115
23506,2000,801.3176,2200.6033
23507,2000,955.1237,2178.7178
23509,2000,690.23505,1696.1476
23510,2000,751.6974,2001.4767
23511,2000,1036.9272,2229.6514
23512,2000,555.3643,1567.948
23514,2000,555.3643,1567.948
23522,2000,720.06604,1940.9312
23525,2000,999.8814,1995.4172
23527,2000,555.3643,1567.948
23528,2000,989.71594,2046.5776
23530,2000,819.70874,2124.6716
23531,2000,555.3643,1567.948
23532,2000,702.6843,2014.9053
23533,2000,702.6843,2014.9053
23534,2000,1091.1492,1789.7275
23536,2000,1019.35046,2337.0247
23537,2000,720.06604,1940.9312
23562,2000,754.27155,1700.5913
23563,2000,1381.6841,3432.551
23564,2000,754.27155,1700.5913
23565,2000,1601.9783,4197.4043
23566,2000,1436.537,3557.4175
23567,2000,1433.2758,3659.8306
23597,2000,380.0077,616.22754
23598,2000,540.26624,944.5052
23603,2000,572.3336,1190.3893
38201,2000,723.4829,2012.6193
38202,2000,680.2226,1843.6993
38203,2000,568.8756,1702.6525
38204,2000,562.7495,1540.3291
38205,2000,620.6743,1656.197
38206,2000,516.56433,1419.6016
38207,2000,812.1581,1809.3705
38208,2000,1628.414,2267.7983
38209,2000,512.039,725.52026
38210,2000,152.89076,216.09167
38211,2000,151.11829,211.69717
38212,2000,605.33075,970.4058
38213,2000,266.29523,385.62668
38214,2000,387.4359,593.7898
38242,2000,289.29025,601.8612
38312,2000,851.7498,1870.8293
38314,2000,434.02853,898.89594
38315,2000,104.64117,176.25081
38316,2000,440.52026,144.9768
38319,2000,1228.4767,974.34546
38352,2000,556.145,1326.4298
38364,2000,618.8429,1480.8667
38391,2000,271.62943,473.78967
38394,2000,509.3722,1029.7317
38402,2000,190.76302,326.60532
38418,2000,1278.8752,1427.3126
38422,2000,705.9656,1134.7565
38428,2000,645.1411,1126.7515
38432,2000,338.7178,411.4439
38434,2000,651.83826,821.75824
38437,2000,632.8546,1065.4564
23505,2001,716.4189,1898.8395
23506,2001,704.1616,2090.6218
23507,2001,861.893,1914.9684
23509,2001,560.67413,1635.1536
23510,2001,710.3729,1838.8695
23511,2001,810.29425,2135.0852
23512,2001,503.0228,1449.8965
23514,2001,503.0228,1449.8965
23522,2001,623.8831,1844.4146
23525,2001,897.3544,2001.2715
23527,2001,503.0228,1449.8965
23528,2001,768.0735,1929.9408
23530,2001,771.77344,1948.6484
23531,2001,503.0228,1449.8965
23532,2001,670.4958,1921.4814
23533,2001,670.4958,1921.4814
23534,2001,1025.3618,1758.204
23536,2001,941.4752,2081.3267
23537,2001,623.8831,1844.4146
23562,2001,485.59613,1405.7242
23563,2001,1102.0034,3011.8933
23564,2001,485.59613,1405.7242
23565,2001,1303.4578,3817.8584
23566,2001,1124.6377,3160.3354
23567,2001,1173.5297,3493.0735
23597,2001,290.66632,471.20453
23598,2001,412.29907,844.9106
23603,2001,429.07208,965.64716
38201,2001,648.29486,1905.5437
38202,2001,605.46704,1740.618
38203,2001,525.0688,1644.3806
38204,2001,501.1009,1400.8259
38205,2001,569.0669,1592.2433
38206,2001,475.26184,1369.9178
38207,2001,748.5688,1757.5258
38208,2001,1651.5206,2281.7163
38209,2001,430.17963,649.7036
38210,2001,141.43698,182.9907
38211,2001,138.00142,179.6764
38212,2001,533.9004,831.21826
38213,2001,227.8317,319.4937
38214,2001,373.87018,569.99524
38242,2001,220.20456,441.60977
38312,2001,588.6448,1113.7744
38314,2001,310.46902,560.2232
38315,2001,120.31162,189.99606
38316,2001,403.27106,113.64155
38319,2001,1297.055,1061.395
38352,2001,476.6042,1133.0765
38364,2001,533.8186,1259.9875
38391,2001,201.6347,361.37674
38394,2001,384.00214,842.6253
38402,2001,145.73123,256.53302
38418,2001,1081.8256,1276.0671
38422,2001,669.5078,1121.8184
38428,2001,656.3977,1222.3492
38432,2001,345.17245,425.96832
38434,2001,588.11487,816.158
38437,2001,580.92053,1029.1847
23505,2002,710.97516,1939.5764
