station_id,station_code,station_name,region,country,latitude,longitude,altitude,year,era5_runoff_mm,Cl_µekv/l,Ca_µekv/l,Ca*_µekv/l,Mg_µekv/l,Mg*_µekv/l,Na_µekv/l,Na*_µekv/l,K_µekv/l,K*_µekv/l,SO4_µekv/l,SO4*_µekv/l,NO3-N_µekv/l,NH4-N_µekv/l,ANC_µekv/l,EMEP_Standard_DEP_SOX_mgpm2,EMEP_Standard_DEP_TOTN_mgpm2,met2005_emis2005_Baseline_DEP_SOX_mgpm2,met2005_emis2005_Baseline_DEP_TOTN_mgpm2,met2005_emis2030_Baseline_DEP_SOX_mgpm2,met2005_emis2030_Baseline_DEP_TOTN_mgpm2,met2005_emis2030_MFR_DEP_SOX_mgpm2,met2005_emis2030_MFR_DEP_TOTN_mgpm2,met2005_emis2050_Baseline_DEP_SOX_mgpm2,met2005_emis2050_Baseline_DEP_TOTN_mgpm2,met2005_emis2050_Diet_DEP_SOX_mgpm2,met2005_emis2050_Diet_DEP_TOTN_mgpm2,met2005_emis2050_MFR_DEP_SOX_mgpm2,met2005_emis2050_MFR_DEP_TOTN_mgpm2,met2015_emis2015_Baseline_DEP_SOX_mgpm2,met2015_emis2015_Baseline_DEP_TOTN_mgpm2,met2015_emis2030_Baseline_DEP_SOX_mgpm2,met2015_emis2030_Baseline_DEP_TOTN_mgpm2,met2015_emis2030_MFR_DEP_SOX_mgpm2,met2015_emis2030_MFR_DEP_TOTN_mgpm2,met2015_emis2050_Baseline_DEP_SOX_mgpm2,met2015_emis2050_Baseline_DEP_TOTN_mgpm2,met2015_emis2050_Diet_DEP_SOX_mgpm2,met2015_emis2050_Diet_DEP_TOTN_mgpm2,met2015_emis2050_MFR_DEP_SOX_mgpm2,met2015_emis2050_MFR_DEP_TOTN_mgpm2
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2000,718.0,53.6,117.8,115.5,82.3,71.8,45.8,-1.7,41.8,41.1,71.8,64.5,86.6,1.5,77.3,771.9,1980.2,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2001,739.0,81.6,119.4,116.3,82.3,66.3,32.6,-37.4,60.7,59.3,74.4,66.0,87.3,1.0,52.8,716.4,1898.8,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2002,883.0,66.0,123.9,121.5,82.3,69.3,87.0,30.3,41.8,40.6,84.5,77.7,83.3,1.1,102.2,711.0,1939.6,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2003,356.0,71.5,104.4,101.7,82.3,68.3,87.0,25.6,60.7,59.5,62.5,55.1,88.9,1.5,113.1,673.9,1876.2,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2004,270.0,75.3,139.0,136.2,58.9,44.1,87.0,22.3,63.3,62.0,75.3,67.5,77.4,1.1,121.3,628.3,1874.1,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2005,522.0,75.2,118.1,115.3,52.8,38.1,47.1,-17.5,60.3,59.0,65.9,58.2,77.9,1.2,60.5,734.0,2076.3,731.3,1971.7,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2006,493.0,107.4,123.9,120.0,54.2,33.1,43.5,-48.8,93.1,91.2,76.3,65.3,80.3,1.3,52.0,557.4,1807.0,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2007,665.0,82.5,122.3,119.2,52.8,36.6,43.5,-27.4,64.2,62.7,83.3,74.8,76.1,1.0,41.8,610.7,1960.0,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2008,560.0,64.6,113.4,111.0,49.4,36.7,47.5,-8.1,51.4,50.2,70.0,63.4,78.5,1.0,49.5,448.9,1583.9,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2009,535.0,56.2,132.2,130.2,55.5,44.5,43.5,-4.8,40.1,39.1,67.7,61.9,70.8,1.0,77.8,429.8,1665.4,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2010,607.0,97.8,113.1,109.5,52.8,33.6,87.0,3.0,80.8,79.0,76.3,66.3,77.9,0.9,82.5,425.3,1741.1,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2011,501.0,68.2,107.7,104.5,48.7,35.3,43.5,-15.1,47.7,46.4,71.1,64.9,74.4,1.0,33.0,324.5,1490.0,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2012,518.0,74.7,178.0,175.2,78.2,63.5,63.3,1.2,71.1,69.8,59.0,51.3,73.2,0.8,169.8,350.4,1538.2,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2013,672.0,,,,,,,,,,,,,,,346.1,1600.4,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2014,467.0,,,,,,,,,,,,,,,300.3,1496.1,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2015,439.0,41.9,97.1,95.6,58.9,50.7,43.5,8.0,29.1,28.7,60.9,56.5,,0.0,,242.3,1394.3,,,,,,,,,,,,,251.0,1351.5,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2016,534.0,41.4,95.2,93.7,46.2,38.1,43.5,7.9,28.5,27.8,56.1,51.8,66.4,0.7,50.2,222.2,1440.7,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2017,377.0,39.3,97.5,96.0,45.6,37.9,43.5,9.8,27.0,26.2,64.1,60.0,61.5,0.7,49.4,224.3,1425.7,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2018,491.0,46.3,,,,,,,,,55.5,50.8,64.8,0.4,,227.6,1442.8,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2019,334.0,40.6,,,,,,,,,64.1,59.9,57.1,0.7,,198.9,1309.6,,,,,,,,,,,,,,,,,,,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2030,,,,,,,,,,,,,,,,,,,,186.9,1095.7,163.7,956.0,,,,,,,,,124.0,899.5,107.7,782.7,,,,,,
23505,DE01,"Schwarzwald, Dürreychbach",WCEurope,DE,48.750167,8.4503,730.0,2050,,,,,,,,,,,,,,,,,,,,,,,,160.9,938.5,125.9,497.3,124.9,685.7,,,,,,,105.3,774.8,82.0,399.5,80.6,560.4
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2000,459.0,268.0,136.8,126.9,105.6,53.1,219.3,-10.9,36.9,32.0,96.1,68.5,60.1,0.0,74.4,801.3,2200.6,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2001,448.0,298.5,136.4,125.4,105.1,46.6,224.7,-31.7,24.5,19.1,95.6,64.9,58.6,0.0,38.1,704.2,2090.6,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2002,638.0,280.8,128.4,118.0,100.2,45.2,225.8,-15.4,23.7,18.7,102.0,73.1,54.6,0.0,40.7,788.0,2184.0,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2003,285.0,288.9,143.1,132.4,109.9,53.2,230.2,-18.0,26.4,21.2,,,,0.0,,628.4,1946.3,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2004,277.0,302.5,138.1,126.9,105.5,46.2,237.4,-22.4,26.9,21.4,,,57.1,0.0,,584.8,1968.3,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2005,410.0,332.8,133.1,119.8,104.5,34.3,264.2,-21.7,27.3,21.3,111.0,74.1,,0.0,,641.1,1986.8,635.6,1890.3,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2006,396.0,331.2,143.5,131.2,112.5,47.5,267.9,-16.6,27.3,21.3,101.5,67.4,42.9,0.0,75.5,562.0,1958.8,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2007,517.0,331.0,135.8,123.6,106.0,41.1,278.4,-5.9,27.8,21.9,106.2,74.0,56.5,0.0,53.9,633.0,1954.7,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2008,383.0,284.1,137.5,126.9,103.3,47.6,247.5,3.5,25.1,20.0,100.1,70.9,58.2,0.0,70.9,503.9,1772.3,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2009,388.0,284.4,139.3,128.8,106.4,50.7,245.4,1.1,25.6,20.5,97.5,68.2,,0.0,,440.2,1729.9,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2010,443.0,300.2,133.5,122.4,105.6,46.8,262.8,5.0,26.0,20.6,93.9,62.9,64.6,0.0,72.4,451.3,1839.1,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2011,378.0,277.8,132.7,122.5,102.9,48.5,250.5,11.9,27.1,22.1,95.6,66.9,,0.0,,374.8,1681.3,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2012,335.0,,136.0,,104.1,,249.7,,24.1,,95.3,,62.9,0.0,,343.3,1686.0,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2013,431.0,,,,,,,,,,,,,,,372.2,1718.8,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2014,263.0,,,,,,,,,,,,,,,378.1,1639.9,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2015,298.0,283.2,137.1,126.7,109.5,54.0,258.0,14.7,26.8,21.7,88.8,59.7,,0.0,,293.8,1582.0,,,,,,,,,,,,,295.3,1499.0,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2016,316.0,302.3,135.0,123.8,105.6,46.4,261.1,1.5,27.0,21.5,93.5,62.4,58.9,0.0,74.0,274.8,1562.1,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2017,279.0,314.0,139.6,128.0,106.0,44.5,264.6,-5.1,26.2,20.5,87.8,55.4,54.1,0.0,80.5,285.1,1746.8,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2018,328.0,306.5,162.6,151.3,109.8,49.7,260.5,-2.8,27.1,21.6,97.7,66.1,60.1,1.4,97.2,306.0,1463.8,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2019,178.0,338.0,141.3,128.8,110.0,43.7,276.5,-13.8,26.4,20.3,90.6,55.8,55.9,1.4,71.1,225.2,1441.5,,,,,,,,,,,,,,,,,,,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2030,,,,,,,,,,,,,,,,,,,,166.7,1096.6,140.8,932.0,,,,,,,,,129.9,1018.3,108.4,863.7,,,,,,
23506,DE02,"Fichtelgebirge, Eger",ECEurope,DE,50.085,11.8245,664.0,2050,,,,,,,,,,,,,,,,,,,,,,,,135.9,935.1,98.2,456.1,97.9,648.5,,,,,,,104.5,876.6,74.1,416.1,73.5,603.5
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2000,612.0,74.5,165.9,163.2,233.5,218.9,,,,,251.5,243.8,71.9,4.0,,955.1,2178.7,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2001,620.0,68.4,173.9,171.3,241.7,228.3,,,,,251.8,244.8,75.9,3.6,,861.9,1915.0,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2002,705.0,69.1,168.4,165.9,236.2,222.6,,,,,232.1,225.0,70.4,3.6,,804.3,2007.0,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2003,352.0,68.4,173.4,170.9,257.8,244.4,110.4,52.2,13.7,12.5,248.1,241.1,78.5,3.6,187.4,715.9,1846.2,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2004,456.0,76.2,157.9,155.1,217.7,202.8,92.5,27.1,9.1,7.7,228.3,220.4,89.1,3.6,87.2,794.3,1939.2,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2005,460.0,77.7,153.3,150.5,206.5,191.2,96.5,29.7,9.3,7.9,220.5,212.5,89.5,1.8,79.7,731.2,1890.5,709.6,1785.3,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2006,382.0,81.1,175.5,172.4,226.3,209.7,98.2,26.6,10.1,9.0,238.7,230.3,94.4,0.0,81.6,668.1,1869.5,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2007,753.0,,166.8,,239.8,,96.5,,10.3,,,,,0.0,,692.6,1875.7,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2008,443.0,81.3,171.9,168.9,239.4,223.5,92.5,22.7,8.8,7.3,236.4,228.0,101.9,3.6,96.6,535.1,1614.6,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2009,462.0,158.9,158.0,152.1,226.3,195.1,45.3,-91.2,10.0,7.2,207.7,191.3,92.2,7.1,-12.0,519.6,1733.7,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2010,466.0,141.0,216.4,206.4,254.3,217.6,77.9,-46.8,7.4,4.9,231.9,217.4,85.0,0.0,79.3,450.5,1624.9,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2011,387.0,,,,,,,,,,,,,,,437.2,1491.3,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2012,527.0,168.3,155.9,149.7,224.2,191.2,,,7.9,4.9,300.0,282.7,64.2,3.6,,421.0,1606.4,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2013,467.0,,,,,,,,,,,,,,,391.7,1555.2,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2014,409.0,,,,,,,,,,,,,,,374.7,1539.9,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2015,422.0,,,,,,,,,,,,,,,355.4,1412.4,,,,,,,,,,,,,351.6,1371.9,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2016,455.0,,,,,,,,,,,,,,,317.5,1441.3,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2017,411.0,,,,,,,,,,,,,,,374.9,1599.1,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2018,406.0,,,,,,,,,,,,,,,299.0,1358.8,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2019,270.0,,,,,,,,,,,,,,,280.9,1335.8,,,,,,,,,,,,,,,,,,,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2030,,,,,,,,,,,,,,,,,,,,222.2,1043.4,186.0,912.5,,,,,,,,,186.3,932.3,154.7,817.3,,,,,,
23507,DE03,"Rothaargebirge, Elberndorfer Bach",WCEurope,DE,50.987833,8.201333,540.0,2050,,,,,,,,,,,,,,,,,,,,,,,,188.0,886.9,131.8,470.0,132.5,651.0,,,,,,,157.5,795.6,107.8,422.1,108.4,585.2
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2000,1049.0,31.0,107.7,106.6,82.3,76.2,50.4,23.7,19.2,18.6,58.3,55.1,35.8,1.7,136.2,690.2,1696.1,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2001,1105.0,31.5,101.7,100.6,82.3,76.1,45.5,18.5,18.7,18.1,62.8,59.5,35.7,1.0,119.2,560.7,1635.2,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2002,1227.0,40.9,103.5,102.0,82.3,74.3,87.0,51.9,21.3,20.6,69.4,65.2,36.5,1.1,148.4,507.4,1539.1,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2003,487.0,51.1,145.2,143.3,82.3,72.3,87.0,43.1,26.1,25.2,76.0,70.7,35.0,1.4,179.9,528.4,1649.0,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2004,673.0,55.7,125.6,123.5,40.5,29.5,87.0,39.1,39.0,38.0,64.2,58.5,31.5,1.0,141.6,515.4,1616.3,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2005,708.0,55.7,126.4,124.4,49.4,38.5,61.8,14.0,38.7,37.7,65.0,59.2,33.3,1.3,123.6,461.3,1493.1,451.2,1410.5,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2006,944.0,66.0,111.0,108.6,39.1,26.1,54.4,-2.4,50.6,49.4,65.9,59.1,28.6,1.0,95.6,442.2,1616.6,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2007,1161.0,61.6,114.4,112.1,38.0,25.9,50.2,-2.7,39.4,38.3,67.3,60.9,24.2,1.0,90.0,447.8,1577.4,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2008,779.0,47.2,113.9,112.2,39.1,29.8,50.7,10.2,32.7,31.9,55.5,50.7,27.4,1.4,107.7,301.0,1307.9,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2009,864.0,48.5,136.2,134.4,43.6,34.1,69.6,27.9,30.8,29.9,58.3,53.3,32.1,1.1,142.4,309.4,1390.5,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2010,828.0,73.6,116.0,113.3,41.8,27.4,87.0,23.8,39.3,38.3,59.0,51.4,35.1,1.0,133.5,264.0,1365.8,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2011,611.0,63.2,127.3,124.9,43.2,30.8,54.4,0.1,56.9,55.4,59.0,52.5,25.6,1.1,93.6,227.9,1254.5,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2012,944.0,25.2,183.0,182.0,51.4,46.5,58.0,36.4,16.2,15.7,45.4,42.8,21.4,0.9,170.7,271.0,1380.6,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2013,1027.0,,,,,,,,,,,,,,,211.1,1313.3,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2014,839.0,,,,,,,,,,,,,,,216.2,1333.2,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2015,757.0,20.8,115.2,114.4,54.4,50.4,58.0,40.0,2.0,1.6,51.3,49.1,,0.0,,178.6,1238.9,,,,,,,,,,,,,182.2,1179.1,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2016,924.0,21.0,107.5,106.7,38.0,33.9,53.5,35.5,0.0,-0.4,49.6,47.5,20.3,0.7,108.7,164.4,1276.6,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2017,673.0,21.7,117.5,116.7,54.4,50.2,58.0,38.8,0.0,-0.4,51.3,49.0,17.6,0.7,119.7,156.7,1199.4,,,,,,,,,,,,,,,,,,,,,,,,
23509,DE05,"Schwarzwald, Goldersbach",WCEurope,DE,47.8785,8.057,1100.0,2018,889.0,17.6,,,,,,,,,54.5,52.6,15.4,0.4,,161.9,1381.4,,,,,,,,,,,,,,,,,,,,,,,,
