station_id,variable,median,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
23621,totn_mgNpm2,1198.3774,0.00014815749171148695,decreasing,-22.31029130434782,45885.890882608684,decreasing
23622,totn_mgNpm2,1234.626,2.923084081452032e-07,decreasing,-24.021199999999983,49349.08959999996,decreasing
23623,totn_mgNpm2,1303.9460000000001,2.5415742823664544e-05,decreasing,-38.42460999999999,78268.43982999997,decreasing
23624,totn_mgNpm2,1208.683,1.751163250673926e-05,decreasing,-34.82504999999992,70963.25814999985,decreasing
23646,totn_mgNpm2,1056.9277,2.5415742823664544e-05,decreasing,-24.004372727272724,49137.68627272727,decreasing
23662,totn_mgNpm2,714.3689999999999,0.000243447606952385,decreasing,-14.15073,29058.281189999998,decreasing
23669,totn_mgNpm2,843.86597,0.0013253924982186138,decreasing,-12.79475555555555,26471.761347777767,decreasing
23683,totn_mgNpm2,953.092,6.992761596436026e-07,decreasing,-22.78629999999999,46594.05089999998,decreasing
23717,totn_mgNpm2,630.6209,1.8160899895036664e-08,decreasing,-15.855405000000008,32388.997115000016,decreasing
23719,totn_mgNpm2,1237.433,8.88363404312198e-05,decreasing,-26.611802777777786,54540.8739638889,decreasing
23720,totn_mgNpm2,1306.141,0.024356020544946455,decreasing,-14.676066666666673,30702.302533333346,decreasing
23721,totn_mgNpm2,1203.678,6.26483954586643e-05,decreasing,-26.419186666666665,54121.30889333333,decreasing
23722,totn_mgNpm2,1148.247,2.1114275347233757e-05,decreasing,-24.758845454545455,50740.21444545455,decreasing
23723,totn_mgNpm2,1292.5433,0.006726327101305829,decreasing,-15.755918421052636,32851.64789736843,decreasing
23726,totn_mgNpm2,807.39716,3.0162840993774864e-06,decreasing,-17.46800476190476,35795.81069809523,decreasing
23728,totn_mgNpm2,1184.21,4.131798903017625e-09,decreasing,-48.66714999999999,98664.51144999999,decreasing
23729,totn_mgNpm2,1354.8970000000002,2.0032569409966783e-06,decreasing,-30.164251666666676,61773.89308833335,decreasing
23733,totn_mgNpm2,795.11383,4.3888445724782343e-05,decreasing,-12.311800000000005,25455.64923000001,decreasing
37047,totn_mgNpm2,1163.205,2.3106313529197564e-08,decreasing,-40.27055238095238,81825.12141904762,decreasing
37765,totn_mgNpm2,1101.2463,3.054267084956486e-05,decreasing,-27.428690000000007,56040.91237000001,decreasing
38441,totn_mgNpm2,714.3689999999999,0.000243447606952385,decreasing,-14.15073,29058.281189999998,decreasing
38442,totn_mgNpm2,771.9464,1.4499521886923716e-05,decreasing,-15.958535000000012,32736.892005000023,decreasing
38443,totn_mgNpm2,723.5269999999999,0.00017511910284429,decreasing,-14.165194117647061,29096.41081764706,decreasing
38444,totn_mgNpm2,723.5269999999999,0.00017511910284429,decreasing,-14.165194117647061,29096.41081764706,decreasing
38445,totn_mgNpm2,819.1004,0.010980366825873444,decreasing,-8.385792352941174,17615.84248294117,decreasing
38446,totn_mgNpm2,843.86597,0.0013253924982186138,decreasing,-12.79475555555555,26471.761347777767,decreasing
38447,totn_mgNpm2,1068.7681,8.88363404312198e-05,decreasing,-23.0088,47155.3945,decreasing
38448,totn_mgNpm2,1004.97705,1.751163250673926e-05,decreasing,-21.9212,44913.14065,decreasing
38449,totn_mgNpm2,1016.2703,0.00010552437751520927,decreasing,-20.742430769230772,42563.35913076923,decreasing
