station_id,NH4-N_µg/l N,NO3-N_µg/l N,TOC_mg C/l,TOTN_µg/l N,TOTP_µg/l P,TON_µg/l N,TOTN/TOTP,NO3/TOTP,TOC/TON,TOC/TOTP
23472,15.011,371.0,0.58,,3.0,,,106.95512820512822,,310.1604278074866
23474,12.0,180.0,0.65,,2.3665408,,,35.64039408866995,,125.33333333333331
23475,12.0,132.0,0.7,,3.12,,,32.421104536489146,,142.66666666666666
23478,14.523,128.0,0.43,,2.748,,,50.801282051282044,,60.52526018269231
23488,28.16,240.0,0.71,,3.0,,,82.93411750093638,,200.13351938068746
23489,37.0,274.7,1.1,,3.0,,,96.02502554941988,,427.3504273504274
23495,12.5,454.0,0.71175,,4.793,,,98.71000186096698,,184.189377015373
23496,13.5,828.5,0.80115,,3.7222500000000003,,,192.07315658657828,,167.25806451612902
23497,13.0,555.0,0.5680000000000001,,2.0525,,,,,
23510,40.05,490.0,6.6,,10.0,,,48.0,,660.0
23516,51.0,753.0,0.935,840.0,8.0,76.0,91.875,71.8125,8.148144409797617,72.60416666666666
23530,31.0,240.0,11.5,,10.0,,,17.75,,955.0
23540,43.5,925.0,7.125,1100.0,49.0,268.0,25.728250244379275,17.727272727272727,82.13415512709115,181.53004535147392
23552,20.0,175.0,4.3149999999999995,,10.0,,,17.5,,431.5
23556,30.0,400.0,6.0,,10.0,,,40.0,,600.0
23559,20.0,200.0,6.0,,10.0,,,20.0,,561.9047619047619
23562,7.624084530092874,309.896016171597,0.427076043069,400.0,2.0,83.10398382840299,161.5,126.9814939435,4.907754456426181,213.5380215345
23563,7.1808434167964545,624.3578102539531,1.06087326305702,774.852659319597,4.0,119.63727839014996,196.1497717177253,163.75669765730413,5.713171293809196,258.2274900863074
23564,19.453591757866697,240.989551725277,0.7441110956665,400.0,4.9715717415718,122.22533759605,86.85,51.4,6.076205404783222,155.51418052085285
23565,5.0,607.5,0.87,675.0,6.0,118.5,138.21428571428572,112.98214285714286,7.484939759036145,146.7857142857143
23570,33.0,420.0,13.0,1130.0,34.5,496.0,24.73846153846154,12.193515704153999,24.133532449754217,336.734693877551
23571,33.0,208.0,13.95,880.0,44.5,596.0,19.426563078061417,4.966804201050263,21.909233176838807,284.01880141010577
23572,76.0,56.0,45.099999999999994,1015.0,17.0,807.0,70.0,4.619318181818182,63.182527301092044,3366.477272727273
23574,38.5,339.5,10.9,955.0,36.5,377.5,21.388888888888886,11.116959064327485,34.6647527512534,286.496624156039
23597,7.5,98.0,6.6,350.0,8.25,227.5,42.65873015873016,12.555555555555557,28.684120499869195,805.5555555555557
23598,12.0,52.0,13.9,554.0,13.850000000000001,518.5,44.145238095238085,4.384615384615385,27.27959356986645,996.1810305517556
23603,20.0,15.0,7.95,497.5,12.5,443.0,42.81818181818182,1.1169804072224354,19.296116504854368,731.8181818181818
23621,,20.02,3.43,,6.53,,,3.4517241379310346,,442.6633785450062
23622,0.0,6.3,1.18,,,,,,,
23623,0.0,57.82,1.033333333333335,,,,,,,
23624,0.0,0.0,0.66,,,,,,,
23662,14.98,0.0,12.3,,7.085,,,0.9000887311446317,,1284.9970938459523
23669,40.53,0.0,7.115,,12.489999999999998,,,0.05486610058785108,,552.0125402200874
23683,11.27,0.0,8.42,,4.895,,,1.5777777777777777,,1164.7555603140986
23719,3.8808,179.13171499999999,0.7206,,,,,,,
23720,1.9404,235.19153,0.86765,,,,,,,
23721,0.5821200000000001,27.550040000000003,1.3345,,,,,,,
23722,-0.6985439999999999,11.96846,0.8514999999999999,,,,,,,
23723,1.319472,295.8242,0.5413250000000001,,,,,,,
23726,,49.98,4.98,,11.1,,,2.6231363400725765,,366.1386593204775
23728,,40.04,3.38,,13.6,,,2.6,,255.6149732620321
23733,,139.86,5.85,,7.8,,,10.766329966329968,,690.5339805825242
33066,33.0,1150.0,6.9,2350.0,35.0,671.0,63.31818181818181,37.85714285714286,7.449868085311849,180.48780487804882
36459,20.5,13.5,9.3,270.5,7.8,241.5,37.282828282828284,1.7807017543859647,39.65503547601398,1187.5
36460,13.0,121.0,8.95,392.0,6.5,250.0,54.01661384807452,14.043323249783924,36.0410391566265,1300.0
36461,22.0,29.0,5.5,268.0,4.6,199.0,53.7,6.9371482176360235,31.6256495734876,1132.3529411764707
36462,10.5,7.0,18.4,425.0,7.9,374.5,57.846153846153854,0.7777777777777778,46.77804295942721,2430.3797468354433
36463,4.0,5.0,9.8,211.5,6.0,203.0,36.26387347391787,0.8174603174603174,53.68421052631579,1669.642857142857
36464,3.0,27.5,3.15,128.0,2.05,100.5,56.375,10.752173913043478,35.94276094276094,1425.0
37765,4.48,0.0,13.100000000000001,,11.09,,,0.0,,1261.298037639514
38085,49.5,121.5,4.705,387.5,4.85,233.0,85.42857142857143,21.627906976744185,20.52828282828283,1029.3233618233617
38086,26.0,333.5,3.584,491.0,3.8,150.0,127.29166666666667,81.31410256410257,21.16923076923077,930.8
38087,40.0,286.0,3.787,483.0,3.9,201.0,126.55172413793105,73.86766334440753,19.461187214611872,1013.25
38088,26.0,258.0,3.4939999999999998,426.0,4.0,183.0,106.18930714675395,50.0,19.440217391304348,870.2260458839405
38089,13.0,20.0,3.21,,,,,,,
38090,13.0,14.0,3.68,,,,,,,
38091,13.0,17.0,5.62,,,,,,,
38092,13.0,7.0,4.52,,,,,,,
38093,13.0,9.5,5.0,,,,,,,
38095,,20.0,3.85,160.0,5.0,,32.0,3.333333333333333,,770.0
38096,,20.0,21.5,490.0,10.0,,49.0,2.0,,2150.0
38097,,20.0,8.51,270.0,10.0,,31.0,2.0,,996.0
38098,,20.0,2.43,170.0,5.0,,36.0,4.0,,607.5
38099,8.0,2.0,3.3958275,230.25,6.0,212.0,35.69642857142857,0.3666666666666667,17.550472622917514,607.0483095238095
38100,11.0,2.0,7.007835,294.0,7.0,273.625,44.00000000000001,0.325,25.404027968511585,1053.234107142857
38101,10.0,1.0,4.635859999999999,202.5,6.0,190.0,33.2,0.16666666666666666,24.591248779773522,777.2185714285713
38102,8.0,2.0,4.0864025,239.75,7.5,227.0,31.246428571428574,0.26785714285714285,19.319362791995538,609.5074999999999
38103,,65.0,1.5,280.0,,,,,,
38104,,10.0,5.7,200.0,,,,,,
38105,,20.0,6.7,210.0,,,,,,
38106,,30.0,3.6,210.0,,,,,,
38107,,20.0,6.8999999999999995,195.0,,,,,,
38108,,20.0,9.1,285.0,,,,,,
