station_id,NH4-N_µg/l N,NO3-N_µg/l N,TOC_mg C/l,TOTN_µg/l N,TOTP_µg/l P,TON_µg/l N,TOTN/TOTP,NO3/TOTP,TOC/TON,TOC/TOTP
23516,51.0,753.0,0.935,840.0,8.0,131.0,91.875,71.8125,5.699246285188631,72.60416666666666
23562,7.624084530092874,309.896016171597,0.427076043069,400.0,2.0,90.10398382840299,161.5,126.9814939435,4.517678395580382,213.5380215345
23563,7.1808434167964545,624.3578102539531,1.06087326305702,774.852659319597,4.0,127.44669381899996,196.1497717177253,163.75669765730413,5.560481842674335,258.2274900863074
23564,19.453591757866697,240.989551725277,0.7441110956665,400.0,4.9715717415718,157.5,86.85,51.4,4.726661014081554,155.51418052085285
23565,5.0,607.5,0.87,675.0,6.0,140.5,138.21428571428572,112.98214285714286,5.952729044834308,146.78571428571428
23570,33.0,420.0,13.0,1130.0,34.5,529.0,24.738461538461536,12.193515704154002,22.485955056179776,336.734693877551
23571,33.0,208.0,13.95,880.0,44.5,631.0,19.426563078061413,4.966804201050262,19.746121297602258,284.01880141010577
23572,76.0,56.0,45.099999999999994,1015.0,17.0,947.0,70.0,4.619318181818182,59.2896174863388,3366.477272727273
23574,38.5,339.5,10.9,955.0,36.5,455.0,21.388888888888886,11.116959064327485,29.34604060127073,286.49662415603905
23597,7.5,98.0,6.6,350.0,8.25,233.0,42.65873015873016,12.555555555555557,27.875778520431414,805.5555555555555
23598,12.0,52.0,13.9,554.0,13.850000000000001,534.0,44.14523809523809,4.384615384615385,26.759025603574813,996.1810305517556
23603,20.0,15.0,7.95,497.5,12.5,462.5,42.81818181818182,1.1169804072224356,18.402570857305165,731.8181818181818
33066,33.0,1150.0,6.9,2350.0,35.0,755.0,63.31818181818181,37.85714285714286,7.298136645962733,180.4878048780488
36459,20.5,13.5,9.3,270.5,7.8,264.0,37.282828282828284,1.780701754385965,35.48199767711963,1187.5
36460,13.0,121.0,8.95,392.0,6.5,256.0,54.01661384807452,14.043323249783924,34.04118404118404,1300.0
36461,22.0,29.0,5.5,268.0,4.6,215.5,53.7,6.937148217636023,25.845925351930774,1132.3529411764707
36462,10.5,7.0,18.4,425.0,7.9,417.5,57.84615384615385,0.7777777777777778,46.11764705882353,2430.379746835443
36463,4.0,5.0,9.8,211.5,6.0,206.0,36.26387347391787,0.8174603174603174,51.956043956043956,1669.642857142857
36464,3.0,27.5,3.15,128.0,2.05,103.5,56.375,10.752173913043478,34.184981684981686,1425.0
38085,49.5,121.5,4.705,387.5,4.85,288.0,85.42857142857143,21.627906976744185,17.395118230358506,1029.3233618233617
38086,26.0,333.5,3.584,491.0,3.8,171.0,127.29166666666666,81.31410256410257,19.306122448979593,930.8
38087,40.0,286.0,3.787,483.0,3.9,242.0,126.55172413793103,73.86766334440753,16.23696682464455,1013.25
38088,26.0,258.0,3.4939999999999998,426.0,4.0,214.0,106.18930714675395,50.0,17.617391304347823,870.2260458839405
38095,,20.0,3.85,160.0,5.0,140.0,32.0,3.3333333333333335,32.27272727272727,770.0
38096,,20.0,21.5,490.0,10.0,470.0,49.0,2.0,53.61702127659574,2150.0
38097,,20.0,8.51,270.0,10.0,250.0,31.0,2.0,31.6,996.0
38098,,20.0,2.43,170.0,5.0,150.0,36.0,4.0,17.357142857142858,607.5
38099,8.0,2.0,3.3958275,230.25,6.0,225.125,35.69642857142857,0.3666666666666667,16.367523026270188,607.0483095238095
38100,11.0,2.0,7.007835,294.0,7.0,285.0,44.0,0.325,24.33854751010017,1053.2341071428573
38102,8.0,2.0,4.0864025,239.75,7.5,236.125,31.246428571428574,0.26785714285714285,18.251514941806956,609.5074999999999
38103,,65.0,1.5,280.0,,215.0,,,7.894736842105263,
38104,,10.0,5.7,200.0,,190.0,,,30.0,
38105,,20.0,6.7,210.0,,190.0,,,31.904761904761905,
38106,,30.0,3.6,210.0,,180.0,,,20.0,
38107,,20.0,6.8999999999999995,195.0,,180.0,,,37.333333333333336,
38108,,20.0,9.1,285.0,,265.0,,,31.71212121212121,
38109,,20.0,7.15,270.0,,255.0,,,26.61764705882353,
38110,,20.0,8.14,280.0,,260.0,,,32.588383838383834,
38111,,20.0,16.7,420.0,,400.0,,,36.0,
38112,,20.0,7.915000000000001,240.0,,220.0,,,37.58666666666667,
38113,,20.0,14.200000000000001,300.0,,280.0,,,44.91758241758242,
38114,,20.0,12.0,305.0,,285.0,,,40.0,
38115,15.320197044335,20.2828353912098,2.1900750111956997,200.99580960910998,5.785840237348861,185.24,34.69004651297789,3.3891327668049067,12.070750068491458,378.5232431857153
38116,7.69,64.9258407273524,6.12229942256232,317.7930085442,8.38395380498568,257.0411189615513,39.810747278911215,8.2598470433952,23.445167161040587,730.2401187995068
38117,8.68920214806291,74.3804181051016,5.18163917657588,324.74615047399897,7.81653720751822,252.82000000000002,41.016177600896135,9.515776120602343,20.056958758943992,648.4028753384489
38118,23.5862374934981,25.4926108374384,5.778710644677661,334.16341829085496,8.99759584493467,300.6503533947309,36.8158321514851,3.1192495456417637,19.741293599163182,642.250523836417
38119,5.41044870444491,103.181251316621,4.13996559230391,312.239835685696,5.77678270486623,211.21,55.390818538546874,20.560191558759993,20.809558618887557,759.6738628653047
38120,12.285714285714299,12.285714285714299,4.025,271.25,5.2285714285714295,253.85714285714332,50.140449438202204,2.4157303370786525,16.0220994475138,780.8988764044934
38121,10.1986812316052,7.513114104595879,2.7816940702588497,193.6,4.43282620179609,188.76999999999998,42.07004862233665,1.730851685193788,14.638441348969145,627.5215728358049
38122,7.62295973884657,92.8417777475517,3.0363846572361295,263.537863846572,4.5,172.97777086895704,61.36747548323685,22.005520943315616,17.5536119004355,670.7841351462442
38123,,20.0,3.6,220.0,,200.0,,,16.666666666666668,
38124,,20.0,4.4,210.0,,190.0,,,24.444444444444443,
38125,,20.0,6.4,230.0,,210.0,,,28.4375,
38126,,20.0,7.1,300.0,,280.0,,,25.357142857142858,
38127,,20.0,5.2,220.0,,200.0,,,27.916666666666668,
38128,,30.0,23.2,610.0,,570.0,,,40.0,
38129,,20.0,6.1,280.0,,220.0,,,25.0,
38130,,20.0,15.7,470.0,,450.0,,,34.888888888888886,
38131,,20.0,3.7,180.0,,160.0,,,21.733333333333334,
38132,,20.0,4.2,190.0,,170.0,,,26.0,
38133,,20.0,4.8,210.0,,190.0,,,28.235294117647058,
38134,,20.0,14.1,390.0,,320.0,,,42.857142857142854,
38135,,20.0,5.74,220.0,,200.0,,,30.210526315789473,
38136,,20.0,9.8,290.0,,270.0,,,40.833333333333336,
38137,,20.0,9.27,260.0,,230.0,,,37.27272727272727,
38138,,20.0,8.0,270.0,,250.0,,,36.36363636363637,
38139,,20.0,3.89,200.0,,190.0,,,19.88235294117647,
38140,,20.0,15.6,370.0,,350.0,,,39.285714285714285,
38141,,20.0,4.3,200.0,,190.0,,,21.941176470588236,
38142,,20.0,5.21,170.0,,150.0,,,37.214285714285715,
38143,,20.0,5.9,290.0,,270.0,,,24.583333333333332,
38144,,20.0,13.5,370.0,,350.0,,,38.57142857142857,
38145,,20.0,2.75,150.0,,130.0,,,21.666666666666668,
38146,,20.0,21.5,460.0,,440.0,,,46.5625,
38147,,20.0,14.6,340.0,,330.0,,,40.0,
38148,,20.0,16.2,410.0,,400.0,,,36.45161290322581,
38149,,20.0,5.76,200.0,,180.0,,,31.6,
38150,,20.0,15.4,370.0,,350.0,,,40.526315789473685,
38151,,20.0,17.5,410.0,,400.0,,,42.68292682926829,
38152,,20.0,7.96,220.0,,200.0,,,34.0,
38153,,20.0,9.4,230.0,,210.0,,,34.81481481481482,
38154,,20.0,7.99,370.0,,350.0,,,24.642857142857142,
38155,,20.0,8.82,260.0,,230.0,,,41.73913043478261,
38156,,20.0,3.22,180.0,,170.0,,,24.153846153846153,
38157,,20.0,2.6,160.0,,140.0,,,18.076923076923077,
38158,,20.0,5.62,320.0,,300.0,,,18.92,
38159,,20.0,6.96,260.0,,240.0,,,29.583333333333332,
38160,,20.0,9.8,340.0,,320.0,,,28.941176470588236,
38161,,20.0,2.2,140.0,,120.0,,,17.333333333333332,
38162,,20.0,3.02,180.0,,170.0,,,20.714285714285715,
38163,,20.0,2.8,150.0,,130.0,,,19.333333333333332,
38164,,20.0,8.9,270.0,,240.0,,,37.083333333333336,
38165,,20.0,6.31,220.0,,200.0,,,34.35,
38166,,20.0,3.1,150.0,,130.0,,,24.285714285714285,
38167,,20.0,16.6,370.0,,350.0,,,44.54545454545455,
38168,,20.0,2.82,140.0,,120.0,,,23.333333333333332,
38169,,20.0,7.2,330.0,,310.0,,,31.304347826086957,
38207,15.5,40.663263000948845,15.31,330.58855501203504,58.7,303.5980936713761,6.421149253414695,0.6943027359267564,47.3583922269807,237.23152219034316
38208,15.5,248.387096774194,6.04,435.0,17.75,246.129032258064,25.089605734767026,11.087987050526058,28.565175417960447,372.0430107526882
38209,26.0,33.0,5.15,275.0,6.0,246.5,46.0,4.578571428571428,19.783596482625608,864.2857142857143
38210,5.0,3.0,6.11,340.0,13.0,300.0,23.846153846153847,0.13333333333333333,22.120118148999016,570.0
38211,2.5,1.5,1.6875,120.0,4.0,118.0,32.25,0.5833333333333333,14.414848070638511,417.6649869354237
38212,18.0,29.0,6.3,340.0,5.5,298.0,58.333333333333336,5.1,21.816829625740972,1161.6666666666665
38213,5.0,26.5,4.300000000000001,205.0,5.0,191.5,42.5,5.6,23.373894413008845,890.0
38214,11.0,9.0,3.0,200.0,3.5,193.5,60.833333333333336,2.791666666666667,15.955068896245367,900.0
38215,2.0,7.0,5.35,200.0,5.0,184.0,36.0,1.3333333333333333,29.716545814106787,1040.0
38216,13.5,27.0,5.45,280.0,7.0,258.5,40.0,3.4732142857142856,22.07251993588053,765.4761904761905
38217,11.0,5.0,14.3,540.0,19.0,536.0,27.647058823529413,0.35714285714285715,28.431372549019606,692.2924901185771
38218,7.0,1.0,3.8600000000000003,225.0,3.5,224.0,65.33333333333334,0.3333333333333333,17.969715367306048,1134.5833333333335
38219,7.5,121.0,4.2,300.0,3.35,184.5,90.04504504504504,37.42424242424242,22.762600094206313,1370.7207207207207
38220,20.5,16.0,6.1,290.0,5.5,280.5,52.0,2.6666666666666665,21.5757089352595,1088.888888888889
38221,7.5,39.5,6.800000000000001,310.0,6.0,275.0,53.83333333333333,6.5,23.90229632879918,1175.0
38223,12.0,14.0,19.5,560.0,18.0,551.0,31.11111111111111,0.7368421052631579,38.21656050955414,1125.0
38224,12.0,38.0,5.949999999999999,290.0,7.0,269.0,43.1288032454361,4.154829545454545,21.32867132867133,835.7142857142858
38225,7.25,77.0,8.825000000000001,342.5,5.35,272.25,64.66025641025641,13.66209656311855,31.870933234224132,1714.5512820512822
