station_id,period,ANC_µeq/l,CaMg_µeq/l,Ca_µeq/l,Cl_µeq/l,HCO3_µeq/l,H_µeq/l,K_µeq/l,Mg_µeq/l,NH4-N_µeq/l,NO3-N_µeq/l,Na_µeq/l,OrgAnions_µeq/l,SAA_µeq/l,SO4_µeq/l,TOC_mg C/l,station_code,station_name,country
100,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,623-603,Breidlivatnet,Norway
100,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,623-603,Breidlivatnet,Norway
100,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,623-603,Breidlivatnet,Norway
100,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,623-603,Breidlivatnet,Norway
101,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,301-605,Langvann,Norway
101,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,301-605,Langvann,Norway
101,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,301-605,Langvann,Norway
101,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,301-605,Langvann,Norway
102,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,221-605,Store Lyseren,Norway
102,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,221-605,Store Lyseren,Norway
102,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,221-605,Store Lyseren,Norway
102,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,221-605,Store Lyseren,Norway
103,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,914-501,Sandvatn,Norway
103,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,914-501,Sandvatn,Norway
103,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,914-501,Sandvatn,Norway
103,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,914-501,Sandvatn,Norway
104,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,137-501,Ravnsjøen,Norway
104,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,137-501,Ravnsjøen,Norway
104,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,137-501,Ravnsjøen,Norway
104,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,137-501,Ravnsjøen,Norway
105,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,221-607,Holvatn,Norway
105,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,221-607,Holvatn,Norway
105,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,221-607,Holvatn,Norway
105,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,221-607,Holvatn,Norway
107,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,819-501,Nedre Furuvatn,Norway
107,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,819-501,Nedre Furuvatn,Norway
107,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,819-501,Nedre Furuvatn,Norway
107,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,819-501,Nedre Furuvatn,Norway
108,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,LAE01,"Langtjern, utløp",Norway
108,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,LAE01,"Langtjern, utløp",Norway
108,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,LAE01,"Langtjern, utløp",Norway
108,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,LAE01,"Langtjern, utløp",Norway
109,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1021-14,Homestadvatnet,Norway
109,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1021-14,Homestadvatnet,Norway
109,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1021-14,Homestadvatnet,Norway
109,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1021-14,Homestadvatnet,Norway
110,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1845-601,Tennvatn,Norway
110,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1845-601,Tennvatn,Norway
110,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1845-601,Tennvatn,Norway
110,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1845-601,Tennvatn,Norway
112,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1101-43,Glypstadvatnet,Norway
112,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1101-43,Glypstadvatnet,Norway
112,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1101-43,Glypstadvatnet,Norway
112,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101-43,Glypstadvatnet,Norway
114,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,SVART01,Svartetjernet,Norway
114,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,SVART01,Svartetjernet,Norway
114,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,SVART01,Svartetjernet,Norway
114,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SVART01,Svartetjernet,Norway
115,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,831-501,Brårvatn,Norway
115,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,831-501,Brårvatn,Norway
115,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,831-501,Brårvatn,Norway
115,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,831-501,Brårvatn,Norway
116,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1640-603,Tufsingen,Norway
116,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1640-603,Tufsingen,Norway
116,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1640-603,Tufsingen,Norway
116,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1640-603,Tufsingen,Norway
118,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1034-19,Indre Espelandsvatnet,Norway
118,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1034-19,Indre Espelandsvatnet,Norway
118,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1034-19,Indre Espelandsvatnet,Norway
118,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1034-19,Indre Espelandsvatnet,Norway
119,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1740-602,Storgåsvatnet,Norway
119,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1740-602,Storgåsvatnet,Norway
119,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1740-602,Storgåsvatnet,Norway
119,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1740-602,Storgåsvatnet,Norway
120,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1222-502,Inste Sørlivatn,Norway
120,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1222-502,Inste Sørlivatn,Norway
120,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1222-502,Inste Sørlivatn,Norway
120,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1222-502,Inste Sørlivatn,Norway
121,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-503,Skaidejavri,Norway
121,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-503,Skaidejavri,Norway
121,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-503,Skaidejavri,Norway
121,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2030-503,Skaidejavri,Norway
