period,region,variable,n_vals,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp
1990-2020,SoNord,SO4_µeq/l,4508,78.4011469562872,61.960242177935825,62.840236573747994,70.12167192718006,0.0,decreasing,-1.9105387768338842
1990-2020,SoNord,NO3-N_µeq/l,4507,4.44579305207772,3.0357142857142856,4.841078122137992,4.25,0.0,decreasing,-0.05555555555555555
1990-2020,SoNord,Cl_µeq/l,4494,114.93044686578095,88.9250133980199,98.04491892108521,123.89428609708631,0.0,decreasing,-0.23076923076923078
1990-2020,SoNord,Ca_µeq/l,4504,101.25223932131296,74.8502994011976,105.81762556106288,113.77245508982037,0.0,decreasing,-0.5346449957228403
1990-2020,SoNord,Mg_µeq/l,4503,55.58510320155471,48.5357025337282,39.80835818828134,54.29808325106942,0.0,decreasing,-0.2999136229022696
1990-2020,SoNord,CaMg_µeq/l,4507,156.77014531130166,127.10856667710976,139.91154499402006,166.71377787367024,0.0,decreasing,-0.8563820040077793
1990-2020,SoNord,H_µeq/l,4492,4.143621535445624,1.552912144808748,5.841594028074577,5.281568509010995,0.0,decreasing,-0.017770949504717273
1990-2020,SoNord,SAA_µeq/l,4505,197.78573741991212,161.3051477012865,142.4087410434508,171.36271814871168,0.0,decreasing,-2.277427158800154
1990-2020,SoNord,ANC_µeq/l,4505,93.7701611832264,67.89239583318768,125.07171785841564,129.6631963705054,0.0,increasing,1.3648212712800087
1990-2020,SoNord,OrgAnions_µeq/l,4500,90.2368690665662,85.56359496087033,63.87903889533866,88.37686217950892,0.0,increasing,0.8559416098567922
1990-2020,SoNord,HCO3_µeq/l,4498,29.888567098659887,0.0,88.38370796557606,27.524780210144705,0.0,increasing,0.0
1990-2020,SoNord,TOC_mg C/l,4498,7.704226322810138,7.05,5.620938280692007,7.300000000000001,0.0,increasing,0.06153846153846153
1990-2020,NoNord,SO4_µeq/l,1217,42.19585982040598,37.47595293020312,24.535845409736243,30.10568218726317,0.0,decreasing,-0.6662391632036081
1990-2020,NoNord,NO3-N_µeq/l,1219,1.003290167584671,0.5714285714285714,1.0816477158424624,1.2857142857142858,0.0,decreasing,-0.011904761904761918
1990-2020,NoNord,Cl_µeq/l,1210,88.16293107648282,62.053986968662734,83.78134423763234,111.90191239105293,0.0,decreasing,-0.125
1990-2020,NoNord,Ca_µeq/l,1213,67.53811208991743,54.89021956087824,57.92736814306257,57.88423153692615,0.00015088642128557872,increasing,0.038459619223092344
1990-2020,NoNord,Mg_µeq/l,1212,40.35658932841705,39.94323790720632,18.862831779662905,29.03779512175058,0.9189398341205706,no trend,0.0
1990-2020,NoNord,CaMg_µeq/l,1216,107.78830147711183,94.43107861276461,68.58965668967524,75.90656150679885,0.029756419781180377,increasing,0.03394997702029201
1990-2020,NoNord,H_µeq/l,1212,0.9132568157215621,0.5353843351046832,1.2717458262957813,0.7506841267415462,0.0,decreasing,-0.0062751236068847235
1990-2020,NoNord,SAA_µeq/l,1217,131.13248464035948,103.63144546645356,92.3308722628848,124.911269511772,0.0,decreasing,-0.94877966291556
