period,region,variable,n_vals,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp
1990-2020,SoNord,SO4_µeq/l,4353,75.35067316796265,58.46248657111687,61.77965384828632,69.24723302547532,0.0,decreasing,-1.7696977772595914
1990-2020,SoNord,NO3-N_µeq/l,4352,4.384439830619758,2.928571428571429,4.8636914025858395,4.25,0.0,decreasing,-0.05612244897959186
1990-2020,SoNord,Cl_µeq/l,4339,108.6110816031768,78.41367444221927,97.97830691543574,123.24205285871436,0.0,decreasing,-0.21428571428571427
1990-2020,SoNord,Ca_µeq/l,4349,94.97764107907419,77.34530938123753,72.56477621960235,114.55753493013975,0.0,decreasing,-0.49900199600798345
1990-2020,SoNord,Mg_µeq/l,4348,53.86476933763626,46.89042448173741,37.20745330070139,53.0188795656466,0.0,decreasing,-0.2630384419835371
1990-2020,SoNord,CaMg_µeq/l,4352,148.77407846400934,128.33538254192504,105.86987168402118,164.37563965726,0.0,decreasing,-0.7645697137169805
1990-2020,SoNord,H_µeq/l,4337,4.047891185246058,1.421496925445368,5.8174574295999175,5.156564582437046,0.0,decreasing,-0.016148029312266936
1990-2020,SoNord,SAA_µeq/l,4350,188.38519654901168,151.79822308912628,141.51565945993212,174.015973307009,0.0,decreasing,-2.1229566176131414
1990-2020,SoNord,ANC_µeq/l,4350,89.4351930907985,67.95753020947464,89.24342663450129,138.95310362669835,0.0,increasing,1.3669779350706874
1990-2020,SoNord,OrgAnions_µeq/l,4345,88.65935233782565,83.98849091879283,63.50719043102485,89.25675024170158,0.0,increasing,0.8155498690527778
1990-2020,SoNord,HCO3_µeq/l,4343,25.599529090347737,0.0,44.64899329771011,33.07759034293689,0.0,increasing,0.0
1990-2020,NoNord,SO4_µeq/l,1372,55.964469081804694,44.76294377774261,45.057841988233925,41.983477268752544,0.0,decreasing,-0.8327989540045131
1990-2020,NoNord,NO3-N_µeq/l,1374,1.5859664171345378,0.7857142857142857,2.305051687560679,1.7142857142857144,0.0,decreasing,-0.010504201680672258
1990-2020,NoNord,Cl_µeq/l,1365,111.29017709976424,91.95272614447296,88.6051068772162,112.03226807322369,1.199040866595169e-14,decreasing,-0.13636363636363635
1990-2020,NoNord,Ca_µeq/l,1368,91.30605158469618,57.99710578842317,154.58319881859254,59.88023952095809,0.000734841585803947,decreasing,-0.03564299971485602
