period,station_id,variable,n_vals,first,last,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
1990-2020,100,SO4_µeq/l,29,60.37792416532725,15.406780649083505,29.29944664817088,26.024967312641056,16.074471150666284,23.942969927629772,1.7580914501991174e-10,decreasing,-1.510191674627828,3055.469466616064,decreasing
1990-2020,100,NO3-N_µeq/l,29,1.8571428571428568,1.8571428571428568,2.102216748768473,1.9285714285714288,1.1110744928228655,1.5,0.3875675334589552,no trend,0.027129120879120876,-52.492445054945044,no trend
1990-2020,100,Cl_µeq/l,29,25.385721941725663,14.667306010774828,17.35663632375841,16.92381462781711,3.635294115608939,5.077144388345131,0.0007539425707465686,decreasing,-0.24470252437004558,507.79707851412854,decreasing
1990-2020,100,Ca_µeq/l,29,17.465069860279442,16.96606786427146,18.1189345447037,18.21357285429142,2.89234724164588,2.9940119760479043,0.08014522662655699,no trend,-0.10395874916832995,226.7548236859613,no trend
1990-2020,100,Mg_µeq/l,29,13.984863441921684,9.049029285949326,10.209233981232483,9.87166831194472,1.9264192725735851,2.467917077986179,0.03383442720179097,decreasing,-0.08030523825193123,170.96397624531875,no trend
1990-2020,100,CaMg_µeq/l,29,31.449933302201124,26.015097150220782,28.54325559318099,28.33474216424013,4.488209518905033,5.610201118000916,0.06597204534764689,no trend,-0.17237858931692407,374.1261923339898,no trend
1990-2020,100,H_µeq/l,29,19.054607179632484,12.022644346174133,9.997193302742234,8.91250938133746,3.357672146247352,3.9865043831083913,0.002829437766179943,decreasing,-0.19963962890456372,409.3896049638923,decreasing
1990-2020,100,SAA_µeq/l,29,87.62078896419578,31.93122951700119,48.75829972069776,43.36839646230085,18.79427892036334,26.792815752038386,6.768692273340093e-10,decreasing,-1.7543329119618551,3562.5602178577824,decreasing
1990-2020,100,ANC_µeq/l,29,-21.34874663622184,21.134788196804628,11.335985132376946,15.968728907967057,16.699600207814637,22.788364166457498,6.768692273340093e-10,increasing,1.7083704792116734,-3411.02245239065,increasing
1990-2020,100,OrgAnions_µeq/l,29,43.45541797440936,81.27436263025999,65.24127339302967,63.1348280704378,13.328737851961833,17.737233453722162,7.353995773007327e-06,increasing,1.1482974842030464,-2240.3499252408733,increasing
1990-2020,100,HCO3_µeq/l,29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,no trend,0.0,0.0,no trend
1990-2020,101,SO4_µeq/l,31,83.27989540045138,27.482365482148957,47.84564313167869,44.13834456223923,19.997323456068134,34.56115659118733,3.9124259387790516e-13,decreasing,-2.0819973850112845,4218.543101509865,decreasing
1990-2020,101,NO3-N_µeq/l,31,4.285714285714286,2.2857142857142856,3.3041474654377883,2.7857142857142856,1.302041534330189,2.0357142857142856,0.10623281632120385,no trend,-0.038961038961038905,80.9025974025973,no trend
1990-2020,101,Cl_µeq/l,31,45.130172340845625,32.719374947113074,33.52917037822907,32.719374947113074,6.083465527193144,10.43635235382055,0.00026926740258503834,decreasing,-0.4487375090709081,932.4380806342839,decreasing
1990-2020,101,Ca_µeq/l,31,53.39321357285429,45.90818363273453,49.2064258579615,49.85029940119761,5.469774438046742,7.485029940119766,8.990057572733079e-05,decreasing,-0.41583499667331913,883.5994677312025,decreasing
1990-2020,101,Mg_µeq/l,31,23.03389272787101,17.275419545903258,19.000307826216176,18.920697597894044,2.0795563808926976,3.0848963474827222,0.0002126771863637522,decreasing,-0.16452780519907845,348.7989470220463,decreasing
1990-2020,101,CaMg_µeq/l,31,76.4271063007253,63.1836031786378,68.24458429572725,68.73321471568215,7.047505698980461,11.598225070096717,4.497394602975824e-05,decreasing,-0.5461929054034073,1163.8499900495137,decreasing
1990-2020,101,H_µeq/l,30,3.715352290971728,1.288249551693135,1.3837304403674335,1.206480707058017,0.7221817754171939,0.7077915173039729,1.1055495925393899e-05,decreasing,-0.04501279647672448,91.47964404112896,decreasing
1990-2020,101,SAA_µeq/l,31,132.6957820270113,62.48745471497632,84.64023581197422,79.32606542017845,25.184615032396643,38.85726337991781,4.263767117151929e-11,decreasing,-2.5882256881579746,5268.718570176918,decreasing
1990-2020,101,ANC_µeq/l,31,0.1732624434466663,51.4617647907727,37.1471112450181,41.23360463560703,18.042593791806972,25.06258776116599,6.143836550620563e-10,increasing,1.8901905830937167,-3748.5985144672945,increasing
1990-2020,101,OrgAnions_µeq/l,31,20.18354501993201,53.49525230717828,43.23717367452337,43.33196025705617,8.823612225036896,10.112686557493348,8.266810680446213e-07,increasing,0.7637472823591906,-1487.981340873121,increasing
1990-2020,101,HCO3_µeq/l,31,0.0,0.0,2.5426563694125055,0.0,4.9628279802295765,3.054162051040235,0.0025781023400803793,increasing,0.0,0.0,no trend
1990-2020,102,SO4_µeq/l,31,106.1818666355755,43.30554560823472,68.04437582658655,64.33371919684869,25.89353271506424,48.61463894001349,5.655476087440547e-13,decreasing,-2.70659660051467,5491.059903228762,decreasing
1990-2020,102,NO3-N_µeq/l,31,9.071428571428571,3.142857142857143,5.018433179723502,5.142857142857143,1.941313089345047,3.392857142857143,3.145858533448731e-06,decreasing,-0.17678571428571427,359.5982142857143,decreasing
1990-2020,102,Cl_µeq/l,31,62.053986968662734,76.72129297943756,65.11574160428663,64.87462273996559,4.250994377394027,5.6412715426057005,0.30572530451316404,no trend,-0.10577384142385722,276.95117479479933,no trend
1990-2020,102,Ca_µeq/l,31,55.88822355289422,46.40718562874252,51.39559590496428,50.898203592814376,7.1341753478884105,11.601796407185624,5.695011642270487e-07,decreasing,-0.6320691949434453,1318.1969394544221,decreasing
1990-2020,102,Mg_µeq/l,31,41.13195129976966,29.615004935834158,32.52077826959207,32.08292201382034,4.997078407793633,8.843369529450474,7.336723126361022e-06,decreasing,-0.45245146429746635,939.2481079302404,decreasing
1990-2020,102,CaMg_µeq/l,31,97.02017485266389,76.02219056457668,83.92698887166596,82.98112560663472,11.447965196076746,21.584668767105484,8.266810680446213e-07,decreasing,-1.0812820674196577,2250.9516707830485,decreasing
1990-2020,102,H_µeq/l,31,6.30957344480193,2.754228703338169,2.624287076671389,2.570395782768865,1.222011080580049,1.391601564420124,1.1516133631150893e-06,decreasing,-0.0997203627222581,202.50972304089635,decreasing
1990-2020,102,SAA_µeq/l,31,177.3072821756668,123.1696957305294,138.19674826073413,130.31505338383192,29.24106221734855,57.80259436641282,1.0564926711253975e-10,decreasing,-3.0913232980710297,6328.418266016246,decreasing
1990-2020,102,ANC_µeq/l,31,-6.798435666711756,40.7325613526978,27.53420705265514,29.723329850380235,20.22235519039235,32.403171004309314,3.983280372210629e-10,increasing,2.1273529942368707,-4235.619423594545,increasing
